EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
2,37,1.0,1141,11,2,1,1,61,1,2,2,4777,14382,5,15,3,1,80,0,15,2,1,1,0,0,0,4777.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,51,1.0,1323,4,4,1,1,34,3,1,3,2461,10332,9,12,3,3,80,3,18,2,4,10,0,2,7,246.1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
4,42,0.0,555,26,3,1,3,77,3,4,2,13525,14864,5,14,3,4,80,1,23,2,4,20,4,4,8,676.25,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
7,40,0.0,1124,1,2,1,2,57,1,2,4,7457,13273,2,22,4,3,80,3,6,2,2,4,3,0,2,1864.25,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True
8,55,1.0,725,2,3,1,4,78,3,5,1,19859,21199,5,13,3,4,80,1,24,2,3,5,2,1,4,3971.8,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
9,36,0.0,635,18,1,1,2,73,3,1,4,2153,7703,1,13,3,1,80,0,8,2,3,8,1,1,7,269.125,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
10,32,0.0,1018,3,2,1,3,39,3,3,4,11159,19373,3,15,3,4,80,0,10,6,3,7,7,7,7,1594.142857142857,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
11,25,0.0,583,4,1,1,3,87,2,2,1,4256,18154,1,12,3,1,80,0,5,1,4,5,2,0,3,851.2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
12,20,1.0,129,4,3,1,1,84,3,1,1,2973,13008,1,19,3,2,80,0,1,2,3,1,0,0,0,2973.0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False
14,42,0.0,810,23,5,1,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,2,3,1,0,0,0,15992.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
15,31,0.0,616,12,3,1,4,41,3,2,4,5855,17369,0,11,3,3,80,2,10,2,1,9,7,8,5,650.5555555555555,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
16,38,0.0,573,6,3,1,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,3,13,11,1,9,409.9230769230769,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
17,39,0.0,408,2,4,1,4,80,2,2,3,4553,20978,1,11,3,1,80,0,20,4,3,20,7,11,10,227.65,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
18,54,0.0,821,5,2,1,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,4,2,4,2,1,2,4851.5,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
20,49,0.0,1098,4,2,1,1,85,2,5,3,18711,12124,2,13,3,3,80,1,23,2,4,1,0,0,0,18711.0,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
21,24,0.0,691,23,3,1,2,89,4,1,4,2725,21630,1,11,3,2,80,2,6,3,3,6,5,1,4,454.1666666666667,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
22,40,0.0,302,6,3,1,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,3,20,6,5,13,661.85,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
23,41,0.0,267,10,2,1,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,3,14,3,1,10,445.0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
24,32,0.0,588,8,2,1,3,65,2,2,2,5228,24624,1,11,3,4,80,0,13,2,3,13,12,11,9,402.15384615384613,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
25,24,1.0,813,1,3,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,1146.5,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
28,39,0.0,412,13,4,1,3,94,2,4,2,17123,17334,6,13,3,4,80,2,21,4,3,19,9,15,2,901.2105263157895,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
